Orthogroup	Female-whole-body	Male-whole-body	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	Flagelliform-gland	Aggregate-gland	Aciniform-Pyriform-gland	Hemolymph	Pedipalp	Leg	Epidermis	Venom-gland	Fat-body	Ovary	Duct	Sac	Tail
OG0000434	90.59063367	96.03019399700001	121.30533766300002	75.13492400300001	248.13321337299996	88.57053066099999	84.68146199899999	117.42819933999999	130.176498327	104.757304006	88.58517166700001	119.206704339	108.269043341	50.182138333999994	34.633003996	49.43333333	24.803333337999998	15.873333333000003
OG0000435	35.82571033	29.548713669999998	32.36562633	26.872235670000002	41.555553	22.35317767	15.07963	32.71501233	51.41263267	38.09810667	33.06399866	18.17789367	14.949131000000001	5.333011667	25.766131	17.62	8.036666667	4.7466666669999995
OG0000436	69.43480133699998	56.74453333299999	48.17139199699999	59.051764337	73.88184533300002	40.617074664	73.932502997	4619.7505869999995	173.25368332999997	94.060804989	75.77220733800002	84.44018233700001	20.410454333	21.453557663	114.71575067399999	8.429999998	17.88333333	11.586666668
OG0000437	28.687779333	35.215757333	32.21578833	44.677551003000005	38.58489066	28.139846999999996	30.374969993	21.660605997	81.375618673	31.185108330000002	26.250725662999997	17.86566067	40.563886333	4.495623	14.394375	33.14666667	11.873333333	8.346666667000001
OG0000438	22.480456667	28.970102996999998	52.57916233	275.75495573399996	401.317464963	384.59087696600005	205.88991	39.088823665999996	12.768587333000001	20.47521033	17.702715	153.15165233	1.581100333	53.052156004	11.852939333	42.543333337	42.84666667	40.563333337
OG0000439	14.972559000999999	29.602992337	34.315784673	32.544875997	89.553540663	23.877467999	29.555550999999998	24.70470833	59.861206663000004	19.36497	16.049694666	14.968132333999998	21.790969332	15.742945667	28.930165667	5.766666666	2.3733333340000002	2.053333332
OG0000440	1377.8027339999999	202.92943263	249.230502633	167.78247533	314.823137667	288.69599803	226.56141003	3347.5579733	180.010672	1900.928328	1252.345302	850.152054633	9375.799326667	5333.156916	249.63963463	104.71666663299999	32.136666667	26.683333333
OG0000441	920.38713107	0.247676333	0.279869667	1.463401	0.256515	0.353667667	0.267389667	751.895338993	1.179115667	231.41278463700002	655.705365337	25.535541001	0.402285	0.283661333	0.075997333	2.206666668	0.07	0.0
OG0000442	7.779909667	4.146043667	3.552730667	1.5610786669999999	8.787411667	6.013764333999999	5.419761667	110.764790668	57.22886734	8.322880334	5.449456667	37.259362669	4.080927666999999	368.82335104699996	21.027224667	3.2433333330000003	4.623333334	4.02
OG0000443	96.71759467	28.05097734	12.106157999999999	22.03433233	29.83830566	20.565164	16.972849333	44.118825663	2021.835211633	172.8391453	99.369639333	45.425041333	8.765096332999999	3.529101667	4.650750333	39.299999997	26.26666667	12.176666667
